epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.888,0.60904,0.97739,1.01067,0.76605,0.86539,0.94535,0.70169,0.56465,1.41375,0.97691,0.0700685,0.00332572,0.00332572
2,95.4633,0.54822,0.63363,0.9925,0.95526,0.96091,0.98749,0.80529,0.46047,0.50613,0.90518,0.0400026,0.00659313,0.00659313
3,140.106,0.52048,0.57615,0.97815,0.95901,0.9513,0.98054,0.80252,0.46314,0.5946,0.91255,0.00987064,0.00979454,0.00979454
4,183.961,0.49516,0.52411,0.96311,0.94519,0.94978,0.97941,0.82157,0.41179,0.48737,0.87655,0.009703,0.009703,0.009703
5,227.39,0.46218,0.48157,0.94286,0.99208,0.9875,0.99334,0.87758,0.34644,0.3311,0.84472,0.009604,0.009604,0.009604
6,270.715,0.4527,0.45713,0.93506,0.98186,0.98064,0.99186,0.82582,0.41873,0.39054,0.87017,0.009505,0.009505,0.009505
7,313.972,0.42608,0.43875,0.92373,0.95833,0.96797,0.99273,0.86036,0.37015,0.37645,0.85487,0.009406,0.009406,0.009406
8,357.336,0.41522,0.42066,0.91705,0.99288,0.98917,0.99431,0.88767,0.32478,0.35155,0.83373,0.009307,0.009307,0.009307
9,400.697,0.40951,0.40867,0.91564,0.99665,0.99308,0.9946,0.90091,0.31234,0.2917,0.83056,0.009208,0.009208,0.009208
10,444.096,0.39475,0.39556,0.90738,0.98921,0.99076,0.99419,0.8842,0.33141,0.29947,0.83338,0.009109,0.009109,0.009109
11,487.453,0.39472,0.38949,0.9062,0.99665,0.99528,0.99489,0.9032,0.30609,0.27353,0.82037,0.00901,0.00901,0.00901
12,530.891,0.38061,0.37567,0.89907,0.99518,0.99234,0.99475,0.90687,0.30116,0.28582,0.82323,0.008911,0.008911,0.008911
13,574.3,0.39168,0.38165,0.90496,0.99496,0.99393,0.99445,0.91355,0.28457,0.26875,0.81677,0.008812,0.008812,0.008812
