epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0275,0.60248,2.02326,1.06992,0.9681,0.97585,0.98455,0.8642,0.36472,0.46425,0.90063,0.00332572,0.00332572,0.00332572
2,173.92,0.48418,0.89692,0.98102,0.99529,0.99386,0.9948,0.88221,0.34745,0.38346,0.89248,0.00659313,0.00659313,0.00659313
3,257.916,0.50027,0.79162,0.98907,0.98794,0.98942,0.99356,0.86042,0.39004,0.39321,0.92016,0.00979454,0.00979454,0.00979454
4,341.31,0.49123,0.66508,0.98723,0.99101,0.98277,0.99132,0.85929,0.38263,0.36447,0.91657,0.009703,0.009703,0.009703
5,425.536,0.45807,0.53518,0.97173,0.99598,0.99599,0.99481,0.90193,0.32067,0.31661,0.88097,0.009604,0.009604,0.009604
6,508.509,0.43085,0.46331,0.9601,0.99531,0.99369,0.99474,0.90745,0.30788,0.29388,0.88029,0.009505,0.009505,0.009505
7,591.252,0.41557,0.4241,0.95343,0.99689,0.99681,0.9948,0.91626,0.29114,0.26948,0.87205,0.009406,0.009406,0.009406
8,674.908,0.40085,0.39644,0.94641,0.99891,0.99769,0.99497,0.91888,0.28947,0.25865,0.8651,0.009307,0.009307,0.009307
9,758.254,0.39346,0.38029,0.94513,0.99849,0.99809,0.99499,0.92527,0.27462,0.24529,0.86434,0.009208,0.009208,0.009208
10,842.417,0.38245,0.36448,0.93865,0.99594,0.9973,0.99473,0.92448,0.28288,0.24272,0.86683,0.009109,0.009109,0.009109
11,925.593,0.37335,0.35311,0.93337,0.9987,0.99957,0.995,0.93311,0.25825,0.23129,0.85277,0.00901,0.00901,0.00901
12,1008.96,0.36795,0.34551,0.93186,0.99899,0.99852,0.995,0.93073,0.26358,0.22714,0.85385,0.008911,0.008911,0.008911
