epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7257,0.88898,1.16125,1.16589,0.84057,0.83977,0.90486,0.58562,0.78699,1.27239,1.07067,0.0700685,0.00332572,0.00332572
2,99.7338,0.83686,0.83034,1.15814,0.68681,0.5029,0.53864,0.22918,1.6247,2.85945,1.94608,0.0400026,0.00659313,0.00659313
3,145.154,0.80409,0.75325,1.14284,0.86227,0.91194,0.96397,0.62314,0.84762,0.72114,1.10692,0.00987064,0.00979454,0.00979454
4,189.107,0.76755,0.69338,1.12454,0.92348,0.92825,0.94776,0.38569,1.43829,1.14041,1.53469,0.009703,0.009703,0.009703
5,232.676,0.7108,0.62669,1.07999,0.91404,0.9017,0.95059,0.45549,1.26662,0.7942,1.41785,0.009604,0.009604,0.009604
6,276.05,0.68455,0.59196,1.0622,0.97097,0.95779,0.98698,0.7384,0.63808,0.5007,0.96452,0.009505,0.009505,0.009505
7,319.786,0.66634,0.56742,1.05136,0.98193,0.98444,0.9889,0.65396,0.87338,0.52677,1.10719,0.009406,0.009406,0.009406
8,364.175,0.63798,0.54665,1.03396,0.98077,0.97914,0.98858,0.67012,0.773,0.60799,1.03061,0.009307,0.009307,0.009307
9,407.26,0.62861,0.53627,1.0253,0.97435,0.98362,0.99059,0.76051,0.59275,0.44746,0.94402,0.009208,0.009208,0.009208
10,450.35,0.61651,0.52081,1.01796,0.97389,0.9691,0.98147,0.55032,1.07985,0.59973,1.282,0.009109,0.009109,0.009109
11,493.596,0.601,0.50609,1.01038,0.97855,0.98325,0.98995,0.75546,0.61627,0.4373,0.94459,0.00901,0.00901,0.00901
12,536.405,0.57595,0.49735,0.99142,0.94423,0.93135,0.94119,0.32963,1.6137,0.81613,1.92667,0.008911,0.008911,0.008911
13,579.081,0.50286,0.44944,0.95203,0.97997,0.97663,0.97762,0.56999,0.97677,0.53496,1.35988,0.008812,0.008812,0.008812
14,622.25,0.4749,0.42673,0.93452,0.98682,0.98476,0.98627,0.57176,0.99775,0.54649,1.29122,0.008713,0.008713,0.008713
15,665.272,0.46191,0.41868,0.92604,0.98395,0.98151,0.99034,0.7138,0.67834,0.44004,0.99242,0.008614,0.008614,0.008614
16,708.136,0.45351,0.41274,0.92309,0.99248,0.99297,0.9928,0.71095,0.71733,0.42567,1.03973,0.008515,0.008515,0.008515
17,751.526,0.44045,0.40017,0.91668,0.97897,0.98849,0.99277,0.84707,0.41323,0.37721,0.86604,0.008416,0.008416,0.008416
18,794.738,0.42631,0.39241,0.90949,0.98474,0.98311,0.98152,0.58781,0.99294,0.53984,1.34,0.008317,0.008317,0.008317
19,837.925,0.41793,0.38559,0.90346,0.98009,0.98013,0.97865,0.55109,1.07087,0.55768,1.48709,0.008218,0.008218,0.008218
20,881.17,0.42176,0.38475,0.90173,0.9956,0.99534,0.99387,0.80988,0.50255,0.34521,0.90018,0.008119,0.008119,0.008119
21,924.554,0.40507,0.3746,0.89719,0.99691,0.99526,0.99414,0.73971,0.67889,0.3956,0.98651,0.00802,0.00802,0.00802
22,967.828,0.39744,0.37029,0.89405,0.98732,0.98803,0.98893,0.71727,0.68628,0.41896,1.05677,0.007921,0.007921,0.007921
23,1011.14,0.3886,0.36067,0.89052,0.99423,0.99473,0.99289,0.76633,0.60947,0.37485,0.97678,0.007822,0.007822,0.007822
24,1054.46,0.38725,0.35781,0.88938,0.99593,0.9961,0.99494,0.90478,0.30904,0.27326,0.81425,0.007723,0.007723,0.007723
25,1098.01,0.38061,0.35176,0.88725,0.99707,0.99637,0.99455,0.81287,0.50003,0.32933,0.89535,0.007624,0.007624,0.007624
26,1141.06,0.37855,0.3503,0.88388,0.99383,0.99207,0.99392,0.79216,0.53869,0.34788,0.92304,0.007525,0.007525,0.007525
27,1184.5,0.37493,0.34646,0.8838,0.98529,0.98369,0.98224,0.62743,0.83894,0.46239,1.28349,0.007426,0.007426,0.007426
28,1228.05,0.37297,0.34284,0.88196,0.99289,0.99221,0.99109,0.65901,0.85684,0.45736,1.16394,0.007327,0.007327,0.007327
