epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9249,0.62055,1.03669,2.33313,0.80369,0.82788,0.93211,0.64908,0.6311,1.28846,2.32119,0.0700685,0.00332572,0.00332572
2,97.5084,0.56659,0.66965,2.28504,0.7791,0.86513,0.92264,0.71191,0.54237,0.88553,2.26241,0.0400026,0.00659313,0.00659313
3,141.709,0.52982,0.59843,2.24552,0.93169,0.93441,0.97775,0.78606,0.46176,0.52147,2.11391,0.00987064,0.00979454,0.00979454
4,185.582,0.50943,0.55123,2.22013,0.96372,0.96692,0.98589,0.81381,0.43667,0.45522,2.09683,0.009703,0.009703,0.009703
5,229.538,0.47754,0.50434,2.17409,0.95562,0.92226,0.96879,0.80217,0.43769,0.46346,2.09087,0.009604,0.009604,0.009604
6,273.603,0.46796,0.48816,2.16296,0.97958,0.96978,0.99137,0.84991,0.37585,0.38341,1.97707,0.009505,0.009505,0.009505
7,317.506,0.4453,0.45661,2.13455,0.99399,0.99277,0.99456,0.87448,0.34924,0.3352,1.95419,0.009406,0.009406,0.009406
8,361.218,0.42796,0.43989,2.1195,0.9833,0.9831,0.99363,0.86612,0.3587,0.35926,1.97755,0.009307,0.009307,0.009307
9,404.801,0.41576,0.42171,2.1063,0.97461,0.97699,0.99007,0.86424,0.34855,0.33046,1.9542,0.009208,0.009208,0.009208
10,448.147,0.41295,0.41439,2.09998,0.99389,0.99202,0.99481,0.8893,0.31669,0.29787,1.9195,0.009109,0.009109,0.009109
11,491.559,0.40603,0.40527,2.09014,0.99667,0.99629,0.99486,0.87943,0.34035,0.29276,1.93099,0.00901,0.00901,0.00901
12,535.67,0.39792,0.39585,2.07991,0.99535,0.99297,0.99479,0.89437,0.30616,0.28149,1.90949,0.008911,0.008911,0.008911
13,579.566,0.41091,0.39622,2.09045,0.9927,0.99288,0.99435,0.85739,0.37193,0.30971,1.96768,0.008812,0.008812,0.008812
14,623.114,0.38972,0.38345,2.07437,0.99084,0.99291,0.99474,0.90217,0.30065,0.28092,1.90839,0.008713,0.008713,0.008713
15,666.433,0.38393,0.37898,2.07092,0.99566,0.99471,0.99471,0.89782,0.30562,0.26954,1.90272,0.008614,0.008614,0.008614
16,709.504,0.37581,0.36768,2.0602,0.99775,0.99712,0.99497,0.92004,0.27441,0.25293,1.88443,0.008515,0.008515,0.008515
17,752.818,0.3711,0.36412,2.0519,0.98939,0.99352,0.99459,0.89628,0.3167,0.29739,1.92915,0.008416,0.008416,0.008416
18,796.161,0.37349,0.36151,2.05243,0.99754,0.99666,0.99498,0.91539,0.27176,0.25347,1.88154,0.008317,0.008317,0.008317
19,839.264,0.36355,0.355,2.0475,0.99752,0.99581,0.99495,0.91931,0.26474,0.24562,1.87376,0.008218,0.008218,0.008218
20,882.297,0.35314,0.34619,2.03607,0.9984,0.99757,0.99499,0.93094,0.25023,0.23293,1.85952,0.008119,0.008119,0.008119
21,925.414,0.35689,0.34672,2.04399,0.99761,0.99787,0.99499,0.91277,0.28179,0.24772,1.89067,0.00802,0.00802,0.00802
22,968.495,0.35028,0.34023,2.0327,0.99744,0.99735,0.99499,0.91348,0.2682,0.23002,1.86834,0.007921,0.007921,0.007921
23,1011.69,0.35109,0.3424,2.03008,0.99815,0.99738,0.99499,0.92415,0.25899,0.2342,1.86554,0.007822,0.007822,0.007822
24,1054.81,0.34516,0.33583,2.02907,0.99897,0.99818,0.995,0.93269,0.24736,0.21956,1.85907,0.007723,0.007723,0.007723
25,1098.17,0.34099,0.32671,2.02423,0.99868,0.99747,0.99499,0.92872,0.2505,0.2196,1.8608,0.007624,0.007624,0.007624
26,1141.32,0.34123,0.32692,2.02267,0.9984,0.99821,0.995,0.91577,0.27219,0.2302,1.87244,0.007525,0.007525,0.007525
27,1184.41,0.33657,0.32477,2.01727,0.99824,0.99759,0.99497,0.91473,0.27638,0.23553,1.87483,0.007426,0.007426,0.007426
28,1227.55,0.33488,0.32323,2.01897,0.99856,0.9984,0.995,0.92459,0.25658,0.22126,1.86163,0.007327,0.007327,0.007327
29,1270.68,0.33511,0.3233,2.01823,0.99824,0.99829,0.99499,0.93762,0.23566,0.21636,1.84526,0.007228,0.007228,0.007228
30,1313.92,0.33138,0.31748,2.01651,0.99899,0.99824,0.995,0.931,0.24478,0.21456,1.85137,0.007129,0.007129,0.007129
31,1357.05,0.32449,0.31084,2.00614,0.99837,0.99812,0.995,0.92825,0.25296,0.22084,1.86123,0.00703,0.00703,0.00703
32,1400.21,0.3257,0.31033,2.01041,0.99868,0.99784,0.995,0.93355,0.23599,0.20903,1.84701,0.006931,0.006931,0.006931
33,1443.22,0.32494,0.31105,2.00611,0.99887,0.99778,0.995,0.9361,0.22846,0.20734,1.84286,0.006832,0.006832,0.006832
34,1486.62,0.32122,0.30803,2.00587,0.99807,0.99727,0.99499,0.92469,0.25094,0.21871,1.86166,0.006733,0.006733,0.006733
35,1529.99,0.32066,0.3037,1.999,0.9987,0.99848,0.995,0.93892,0.2302,0.2031,1.84054,0.006634,0.006634,0.006634
36,1573.4,0.31569,0.29994,1.9972,0.99931,0.99861,0.995,0.93595,0.23397,0.20198,1.84454,0.006535,0.006535,0.006535
37,1616.45,0.31485,0.29988,1.99903,0.9985,0.99854,0.995,0.9307,0.24123,0.20665,1.84831,0.006436,0.006436,0.006436
38,1659.75,0.31289,0.29697,1.99303,0.99906,0.99846,0.995,0.93797,0.23027,0.19786,1.84072,0.006337,0.006337,0.006337
39,1702.99,0.31507,0.29936,1.9954,0.99923,0.99883,0.995,0.94474,0.21502,0.19224,1.83056,0.006238,0.006238,0.006238
40,1746.31,0.30795,0.29295,1.98776,0.99913,0.99886,0.995,0.93997,0.22334,0.19625,1.83511,0.006139,0.006139,0.006139
41,1789.43,0.31088,0.29409,1.99289,0.99929,0.99797,0.995,0.94276,0.21966,0.1947,1.83551,0.00604,0.00604,0.00604
42,1832.61,0.30436,0.28758,1.98301,0.99925,0.99841,0.995,0.94249,0.21948,0.1902,1.83182,0.005941,0.005941,0.005941
43,1875.61,0.30475,0.28827,1.98249,0.99924,0.99877,0.995,0.93434,0.23618,0.19897,1.84451,0.005842,0.005842,0.005842
44,1918.66,0.3051,0.28816,1.98384,0.99901,0.99899,0.995,0.94583,0.2136,0.18973,1.82806,0.005743,0.005743,0.005743
45,1961.76,0.30442,0.28631,1.98312,0.99909,0.99888,0.995,0.94241,0.21724,0.18983,1.82966,0.005644,0.005644,0.005644
46,2004.87,0.2991,0.28156,1.97958,0.99918,0.99879,0.995,0.94421,0.21664,0.18714,1.82961,0.005545,0.005545,0.005545
47,2048.16,0.2995,0.28153,1.98005,0.99925,0.99849,0.995,0.94386,0.21748,0.18782,1.82947,0.005446,0.005446,0.005446
48,2091.42,0.29789,0.27925,1.97675,0.99919,0.99871,0.995,0.94581,0.2093,0.18198,1.82416,0.005347,0.005347,0.005347
49,2134.53,0.2965,0.27987,1.97525,0.99937,0.99887,0.995,0.93467,0.23406,0.19102,1.84037,0.005248,0.005248,0.005248
50,2177.78,0.29675,0.27944,1.97726,0.99911,0.99902,0.995,0.94665,0.20996,0.18193,1.82541,0.005149,0.005149,0.005149
51,2221.08,0.29247,0.27516,1.97469,0.99918,0.99881,0.995,0.93895,0.2243,0.18742,1.83377,0.00505,0.00505,0.00505
52,2265.1,0.29412,0.27572,1.97546,0.99892,0.99858,0.995,0.94406,0.21503,0.18315,1.82825,0.004951,0.004951,0.004951
53,2308.58,0.29168,0.2747,1.97427,0.9993,0.9988,0.995,0.94326,0.21473,0.18188,1.82699,0.004852,0.004852,0.004852
