epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.607,0.63067,1.02616,1.01029,0.89796,0.90776,0.94134,0.73608,0.51146,0.71312,0.93735,0.0700685,0.00332572,0.00332572
2,95.9308,0.58078,0.66786,0.99261,0.91564,0.92674,0.9739,0.77255,0.50089,0.60678,0.94813,0.0400026,0.00659313,0.00659313
3,140.816,0.53346,0.59448,0.96913,0.84816,0.84952,0.92025,0.71606,0.53356,1.09584,0.96244,0.00987064,0.00979454,0.00979454
4,185.507,0.50809,0.53838,0.95675,0.989,0.99058,0.99439,0.8598,0.36715,0.3769,0.85421,0.009703,0.009703,0.009703
5,229.535,0.49007,0.51164,0.94307,0.98263,0.96086,0.98495,0.84421,0.39127,0.49642,0.87286,0.009604,0.009604,0.009604
6,273.466,0.45726,0.46868,0.92693,0.98501,0.97859,0.99327,0.85208,0.389,0.37325,0.85984,0.009505,0.009505,0.009505
7,316.875,0.4612,0.46353,0.92547,0.99372,0.99503,0.99483,0.90064,0.31012,0.29989,0.82642,0.009406,0.009406,0.009406
8,360.351,0.43335,0.43081,0.91398,0.98989,0.99223,0.9946,0.88279,0.33345,0.32,0.8348,0.009307,0.009307,0.009307
9,403.678,0.42325,0.42563,0.90924,0.98338,0.98075,0.99237,0.87243,0.33815,0.34065,0.83576,0.009208,0.009208,0.009208
10,447.057,0.41877,0.41843,0.90622,0.9963,0.99417,0.99469,0.88305,0.34148,0.31336,0.8354,0.009109,0.009109,0.009109
11,490.386,0.40731,0.39758,0.9018,0.9952,0.99433,0.99481,0.90261,0.30523,0.28065,0.82312,0.00901,0.00901,0.00901
12,533.911,0.40066,0.38862,0.8977,0.9866,0.99312,0.99458,0.87193,0.34914,0.33987,0.84381,0.008911,0.008911,0.008911
