epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8576,0.43824,1.94114,1.07123,0.97583,0.97562,0.98788,0.84607,0.2926,0.46484,0.9165,0.00332572,0.00332572,0.00332572
2,175.039,0.35066,0.87313,0.98011,0.98913,0.99097,0.99412,0.88123,0.25966,0.38189,0.90012,0.00659313,0.00659313,0.00659313
3,258.491,0.36144,0.77092,0.98941,0.98874,0.97816,0.99266,0.85867,0.28707,0.40381,0.92421,0.00979454,0.00979454,0.00979454
4,341.376,0.35655,0.6402,0.98817,0.99506,0.99078,0.9939,0.88692,0.24831,0.33818,0.89157,0.009703,0.009703,0.009703
5,424.171,0.3366,0.52176,0.97536,0.99485,0.9937,0.99484,0.8829,0.25818,0.32664,0.89601,0.009604,0.009604,0.009604
6,507.267,0.31873,0.46012,0.96436,0.99655,0.99568,0.99483,0.90038,0.23391,0.28766,0.8862,0.009505,0.009505,0.009505
7,590.104,0.30638,0.42067,0.95746,0.99747,0.99736,0.99498,0.91619,0.2124,0.26345,0.86963,0.009406,0.009406,0.009406
8,673.292,0.29507,0.39801,0.94978,0.9974,0.99598,0.99496,0.91901,0.21674,0.26279,0.87262,0.009307,0.009307,0.009307
9,756.057,0.29035,0.37958,0.9471,0.99882,0.9986,0.99499,0.92474,0.20151,0.24507,0.86327,0.009208,0.009208,0.009208
10,838.563,0.28303,0.36922,0.94231,0.99753,0.99676,0.99496,0.92204,0.2062,0.24607,0.86433,0.009109,0.009109,0.009109
11,921.093,0.27672,0.36083,0.93785,0.9983,0.99822,0.99499,0.92685,0.20187,0.23751,0.86503,0.00901,0.00901,0.00901
12,1003.58,0.27268,0.35153,0.93746,0.99885,0.9977,0.99498,0.93194,0.19129,0.22802,0.85511,0.008911,0.008911,0.008911
13,1086.62,0.26709,0.34069,0.93112,0.99885,0.99811,0.99499,0.92337,0.19889,0.22971,0.85956,0.008812,0.008812,0.008812
14,1169.31,0.26343,0.33863,0.93166,0.99826,0.99862,0.995,0.9386,0.18492,0.21323,0.85286,0.008713,0.008713,0.008713
15,1252.76,0.25823,0.32827,0.92818,0.99899,0.99913,0.995,0.94003,0.18067,0.20587,0.84703,0.008614,0.008614,0.008614
16,1335.91,0.25645,0.32652,0.9266,0.99852,0.99905,0.995,0.93848,0.18413,0.21118,0.85047,0.008515,0.008515,0.008515
17,1418.99,0.25103,0.31686,0.92316,0.99895,0.99945,0.995,0.94237,0.17641,0.20199,0.84603,0.008416,0.008416,0.008416
18,1502.78,0.24881,0.31513,0.92298,0.99946,0.99881,0.995,0.94056,0.17881,0.20251,0.84794,0.008317,0.008317,0.008317
19,1587.27,0.2455,0.30948,0.92182,0.99853,0.99859,0.995,0.94179,0.17896,0.20118,0.84578,0.008218,0.008218,0.008218
20,1669.86,0.2425,0.30568,0.91838,0.99872,0.99873,0.995,0.94445,0.17437,0.19815,0.84506,0.008119,0.008119,0.008119
21,1752.55,0.24111,0.30076,0.91862,0.99907,0.99917,0.995,0.94541,0.17277,0.19708,0.84327,0.00802,0.00802,0.00802
22,1835.75,0.2392,0.29921,0.91681,0.99941,0.99916,0.995,0.94514,0.17145,0.19242,0.84238,0.007921,0.007921,0.007921
23,1918.97,0.23646,0.29468,0.91591,0.99776,0.99894,0.99488,0.94434,0.17312,0.19125,0.84389,0.007822,0.007822,0.007822
24,2001.68,0.23465,0.2917,0.91452,0.99903,0.99894,0.995,0.94882,0.16611,0.18664,0.83997,0.007723,0.007723,0.007723
25,2084.63,0.2329,0.28777,0.91449,0.99853,0.99929,0.995,0.94602,0.16757,0.18631,0.84034,0.007624,0.007624,0.007624
26,2167.56,0.2314,0.28529,0.91159,0.99953,0.99941,0.995,0.94737,0.16717,0.18209,0.83979,0.007525,0.007525,0.007525
27,2250.79,0.2307,0.28529,0.91287,0.99903,0.99895,0.995,0.94349,0.17301,0.18575,0.84295,0.007426,0.007426,0.007426
28,2333.4,0.22858,0.28163,0.91195,0.99912,0.99908,0.995,0.95206,0.16131,0.17753,0.83874,0.007327,0.007327,0.007327
29,2416,0.22735,0.28006,0.91209,0.99944,0.99926,0.995,0.95249,0.16086,0.17777,0.83723,0.007228,0.007228,0.007228
30,2499,0.2253,0.28061,0.90984,0.99917,0.99952,0.995,0.95078,0.15979,0.17659,0.83709,0.007129,0.007129,0.007129
31,2582.94,0.22235,0.27409,0.90631,0.99881,0.99924,0.99498,0.95108,0.15851,0.17642,0.83649,0.00703,0.00703,0.00703
32,2668.19,0.22144,0.27358,0.90732,0.99915,0.9994,0.995,0.95228,0.15599,0.17408,0.83429,0.006931,0.006931,0.006931
33,2751.46,0.21981,0.27061,0.90532,0.99839,0.99931,0.995,0.95266,0.15907,0.17641,0.83812,0.006832,0.006832,0.006832
34,2835.01,0.21839,0.27106,0.9073,0.99925,0.99949,0.995,0.95248,0.15666,0.17242,0.8356,0.006733,0.006733,0.006733
35,2917.49,0.21759,0.26643,0.90549,0.99911,0.99948,0.995,0.9567,0.1532,0.16894,0.83323,0.006634,0.006634,0.006634
36,3000.38,0.21626,0.26567,0.90221,0.99934,0.99932,0.995,0.95324,0.15841,0.16932,0.83642,0.006535,0.006535,0.006535
37,3082.89,0.21389,0.26103,0.90348,0.99935,0.99941,0.995,0.95565,0.15446,0.16714,0.83319,0.006436,0.006436,0.006436
38,3165.53,0.21323,0.2615,0.90187,0.99872,0.99946,0.995,0.95763,0.15169,0.16447,0.83346,0.006337,0.006337,0.006337
39,3248.25,0.21337,0.26073,0.90196,0.99917,0.99923,0.995,0.95644,0.15271,0.1656,0.83227,0.006238,0.006238,0.006238
40,3331.62,0.21117,0.25945,0.90156,0.99929,0.99952,0.995,0.95673,0.15268,0.16674,0.83281,0.006139,0.006139,0.006139
41,3414.44,0.21205,0.25751,0.90073,0.99931,0.9993,0.995,0.95502,0.15182,0.16423,0.83314,0.00604,0.00604,0.00604
42,3496.94,0.20833,0.25274,0.89793,0.99958,0.99933,0.995,0.95949,0.14589,0.15942,0.82946,0.005941,0.005941,0.005941
43,3579.5,0.20768,0.25395,0.89844,0.9994,0.99934,0.995,0.95632,0.15214,0.16122,0.83223,0.005842,0.005842,0.005842
44,3661.97,0.20624,0.25108,0.89694,0.9993,0.99939,0.995,0.95737,0.14788,0.1598,0.82953,0.005743,0.005743,0.005743
45,3744.39,0.20601,0.2497,0.89802,0.99932,0.99945,0.995,0.95712,0.14826,0.15753,0.83035,0.005644,0.005644,0.005644
46,3827.12,0.20412,0.24712,0.89636,0.99935,0.99943,0.995,0.95831,0.14443,0.15651,0.82892,0.005545,0.005545,0.005545
47,3909.78,0.20278,0.24473,0.89464,0.99918,0.99951,0.995,0.95937,0.14447,0.15386,0.82847,0.005446,0.005446,0.005446
48,3992.4,0.203,0.2427,0.89556,0.99932,0.99966,0.99499,0.96074,0.14158,0.15168,0.82691,0.005347,0.005347,0.005347
49,4075.04,0.20107,0.243,0.89438,0.99956,0.99937,0.995,0.96009,0.14347,0.1533,0.82836,0.005248,0.005248,0.005248
50,4157.82,0.20043,0.24228,0.895,0.99912,0.99952,0.995,0.96063,0.14218,0.15073,0.82715,0.005149,0.005149,0.005149
51,4240.46,0.19992,0.23979,0.89472,0.99934,0.99959,0.99497,0.95935,0.14265,0.15036,0.82834,0.00505,0.00505,0.00505
52,4323.03,0.19802,0.23788,0.89272,0.99928,0.99959,0.995,0.96114,0.14103,0.14914,0.82695,0.004951,0.004951,0.004951
53,4405.39,0.19949,0.23961,0.89319,0.99931,0.99944,0.995,0.9611,0.14144,0.15068,0.82696,0.004852,0.004852,0.004852
54,4487.65,0.19699,0.2366,0.89173,0.99944,0.99961,0.995,0.96196,0.13935,0.14899,0.82606,0.004753,0.004753,0.004753
55,4570.3,0.19586,0.23539,0.89239,0.99927,0.99944,0.995,0.96036,0.14284,0.14868,0.82759,0.004654,0.004654,0.004654
56,4652.7,0.19474,0.23197,0.89153,0.99926,0.99963,0.995,0.96274,0.1394,0.14689,0.82643,0.004555,0.004555,0.004555
57,4735.16,0.19254,0.23155,0.8892,0.99943,0.99945,0.995,0.96248,0.13795,0.14566,0.82578,0.004456,0.004456,0.004456
58,4817.78,0.19193,0.23014,0.889,0.99929,0.99956,0.99499,0.96203,0.1396,0.14483,0.82567,0.004357,0.004357,0.004357
59,4901.23,0.19095,0.22843,0.8885,0.99933,0.99961,0.995,0.96336,0.13721,0.14423,0.82506,0.004258,0.004258,0.004258
60,4984.23,0.19074,0.22751,0.88834,0.99961,0.99921,0.995,0.96311,0.13677,0.14349,0.82428,0.004159,0.004159,0.004159
61,5067.86,0.19187,0.22678,0.88767,0.99948,0.9995,0.995,0.96285,0.13663,0.14238,0.82473,0.00406,0.00406,0.00406
62,5150.92,0.18961,0.22563,0.88842,0.99931,0.99948,0.995,0.9625,0.13683,0.14335,0.82474,0.003961,0.003961,0.003961
63,5234.77,0.18931,0.22512,0.88832,0.99934,0.99939,0.99499,0.96335,0.13583,0.1422,0.82425,0.003862,0.003862,0.003862
