epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0103,0.59124,0.9748,0.96474,0.74943,0.81933,0.88997,0.68252,0.55968,2.29729,0.95685,0.0700685,0.00332572,0.00332572
2,95.2764,0.54672,0.62999,0.94846,0.94841,0.93229,0.9805,0.79434,0.46933,0.61744,0.90109,0.0400026,0.00659313,0.00659313
3,139.047,0.51271,0.55678,0.93181,0.95706,0.95629,0.98138,0.81395,0.44113,0.49571,0.87196,0.00987064,0.00979454,0.00979454
4,182.365,0.49097,0.51737,0.92191,0.96015,0.95858,0.98489,0.82169,0.42985,0.45067,0.88692,0.009703,0.009703,0.009703
5,225.66,0.45241,0.46691,0.90051,0.99,0.98356,0.99234,0.86259,0.37198,0.36713,0.84132,0.009604,0.009604,0.009604
6,269.113,0.4188,0.43618,0.88694,0.99208,0.98833,0.99409,0.88322,0.3374,0.36277,0.82691,0.009505,0.009505,0.009505
7,312.618,0.40458,0.42231,0.88099,0.98866,0.98576,0.9939,0.87778,0.3328,0.33728,0.825,0.009406,0.009406,0.009406
8,355.955,0.39089,0.39698,0.87521,0.98575,0.98473,0.99312,0.88949,0.32413,0.33837,0.82163,0.009307,0.009307,0.009307
9,399.329,0.37734,0.38363,0.8685,0.99009,0.99392,0.9946,0.87507,0.33681,0.31762,0.82628,0.009208,0.009208,0.009208
10,442.742,0.3702,0.36775,0.86624,0.9805,0.98283,0.99216,0.88437,0.32598,0.3208,0.82312,0.009109,0.009109,0.009109
11,486.217,0.36465,0.36121,0.86364,0.9976,0.9957,0.99486,0.91666,0.27832,0.28022,0.80451,0.00901,0.00901,0.00901
12,530.424,0.35732,0.35632,0.85918,0.88069,0.88697,0.92377,0.74897,0.45355,0.73025,0.87912,0.008911,0.008911,0.008911
13,575.856,0.34833,0.34529,0.85604,0.99584,0.99517,0.99495,0.91547,0.28122,0.27579,0.80321,0.008812,0.008812,0.008812
14,619.653,0.34881,0.34544,0.85893,0.99357,0.99388,0.99443,0.91744,0.27743,0.2722,0.80188,0.008713,0.008713,0.008713
15,663.852,0.34058,0.33502,0.85383,0.99509,0.9961,0.9948,0.91793,0.27423,0.2674,0.80342,0.008614,0.008614,0.008614
16,708.592,0.3338,0.32878,0.84869,0.98764,0.99247,0.99386,0.89535,0.32486,0.29105,0.82361,0.008515,0.008515,0.008515
17,753.45,0.33366,0.32744,0.85098,0.9949,0.99388,0.99459,0.90318,0.30095,0.29117,0.81075,0.008416,0.008416,0.008416
18,800.066,0.3277,0.32306,0.84912,0.99657,0.99657,0.99489,0.92041,0.27462,0.25689,0.80236,0.008317,0.008317,0.008317
19,845.468,0.32584,0.31659,0.84738,0.99627,0.99729,0.99496,0.92806,0.2569,0.242,0.79433,0.008218,0.008218,0.008218
20,891.423,0.32098,0.31294,0.84635,0.99806,0.99744,0.99499,0.92502,0.26434,0.24459,0.79668,0.008119,0.008119,0.008119
21,938.013,0.31927,0.30927,0.84602,0.99784,0.99518,0.99493,0.91467,0.278,0.25288,0.79893,0.00802,0.00802,0.00802
22,981.781,0.31751,0.30862,0.84304,0.98665,0.99052,0.99443,0.89539,0.313,0.28423,0.81422,0.007921,0.007921,0.007921
23,1027.44,0.31062,0.30161,0.84207,0.99932,0.99817,0.995,0.93815,0.23899,0.22465,0.78996,0.007822,0.007822,0.007822
24,1072.57,0.30885,0.30262,0.8409,0.98908,0.99238,0.99457,0.90481,0.29313,0.26358,0.80825,0.007723,0.007723,0.007723
25,1117.75,0.30999,0.29951,0.84247,0.99836,0.99764,0.99499,0.93189,0.24926,0.22748,0.79202,0.007624,0.007624,0.007624
26,1163.8,0.30222,0.29203,0.83745,0.99887,0.99786,0.99499,0.94203,0.22707,0.21538,0.78513,0.007525,0.007525,0.007525
27,1209.4,0.2999,0.29155,0.8368,0.99725,0.99684,0.99495,0.92939,0.24913,0.23077,0.793,0.007426,0.007426,0.007426
28,1255.2,0.29732,0.28786,0.83669,0.99874,0.99761,0.99499,0.94229,0.2306,0.2199,0.78741,0.007327,0.007327,0.007327
29,1299.06,0.29638,0.28534,0.83623,0.9985,0.99776,0.99499,0.94072,0.22997,0.21899,0.78748,0.007228,0.007228,0.007228
30,1343.26,0.29596,0.28412,0.83672,0.99836,0.99787,0.995,0.91807,0.27284,0.23518,0.8001,0.007129,0.007129,0.007129
31,1389.89,0.29484,0.2816,0.83698,0.99876,0.99782,0.99499,0.946,0.21886,0.20944,0.78406,0.00703,0.00703,0.00703
32,1434.14,0.29096,0.27946,0.83463,0.98535,0.99416,0.99471,0.90595,0.28928,0.25543,0.8039,0.006931,0.006931,0.006931
33,1478.42,0.28954,0.27701,0.83553,0.99797,0.99816,0.995,0.9329,0.2472,0.22258,0.79338,0.006832,0.006832,0.006832
34,1523.43,0.28899,0.27659,0.83382,0.9984,0.99796,0.99499,0.92204,0.25783,0.22011,0.79292,0.006733,0.006733,0.006733
35,1570.51,0.28422,0.27174,0.8305,0.99801,0.99828,0.995,0.93394,0.23983,0.21036,0.78775,0.006634,0.006634,0.006634
36,1619.43,0.28486,0.27169,0.83192,0.99877,0.99841,0.995,0.94181,0.22393,0.20491,0.78399,0.006535,0.006535,0.006535
37,1662.96,0.28203,0.26714,0.82989,0.99633,0.99785,0.99494,0.9168,0.2684,0.22746,0.79514,0.006436,0.006436,0.006436
38,1706.18,0.27737,0.26481,0.82781,0.99874,0.99858,0.99499,0.93774,0.22876,0.20482,0.78476,0.006337,0.006337,0.006337
39,1749.67,0.27818,0.26523,0.82794,0.99848,0.99848,0.995,0.94057,0.22737,0.20271,0.78577,0.006238,0.006238,0.006238
40,1793.31,0.27617,0.26386,0.82842,0.99806,0.99866,0.99499,0.93526,0.23549,0.20705,0.78607,0.006139,0.006139,0.006139
