epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3564,0.63067,1.02616,1.01029,0.89796,0.90776,0.94134,0.73608,0.51146,0.71312,0.93735,0.0700685,0.00332572,0.00332572
2,103.093,0.57609,0.66617,0.99138,0.87009,0.86665,0.94839,0.73633,0.52439,1.0016,0.9464,0.040052,0.00664258,0.00664258
3,151.062,0.54449,0.59935,0.97369,0.97562,0.97838,0.9889,0.82731,0.40873,0.45284,0.87303,0.010019,0.00994293,0.00994293
4,198.348,0.50532,0.53491,0.95326,0.98836,0.98728,0.99392,0.84797,0.39271,0.3892,0.86463,0.00992575,0.00992575,0.00992575
5,245.799,0.48785,0.50747,0.94017,0.95337,0.97327,0.99071,0.84047,0.41496,0.46196,0.87202,0.009901,0.009901,0.009901
6,293.03,0.46359,0.46947,0.92724,0.97406,0.9678,0.98698,0.84442,0.39072,0.38486,0.85887,0.00987625,0.00987625,0.00987625
7,340.027,0.45038,0.45693,0.92215,0.99771,0.99413,0.99491,0.88224,0.32986,0.31289,0.82908,0.0098515,0.0098515,0.0098515
8,387.251,0.43698,0.43962,0.91403,0.9899,0.98905,0.994,0.88409,0.33271,0.34955,0.84015,0.00982675,0.00982675,0.00982675
9,434.434,0.42581,0.42331,0.90874,0.98075,0.98796,0.99324,0.86524,0.37079,0.34027,0.84898,0.009802,0.009802,0.009802
10,481.732,0.42274,0.4175,0.90733,0.99285,0.99189,0.99455,0.89325,0.31318,0.31068,0.82486,0.00977725,0.00977725,0.00977725
11,528.781,0.41133,0.40984,0.90353,0.99469,0.99191,0.99425,0.89078,0.32836,0.2905,0.83585,0.0097525,0.0097525,0.0097525
12,575.771,0.4088,0.40354,0.90002,0.99363,0.99302,0.99455,0.90089,0.30182,0.28317,0.82,0.00972775,0.00972775,0.00972775
13,622.722,0.40059,0.39154,0.89682,0.99575,0.99558,0.99473,0.89323,0.31577,0.29408,0.82748,0.009703,0.009703,0.009703
14,669.358,0.40011,0.39926,0.89701,0.99832,0.993,0.99463,0.90445,0.3057,0.28167,0.82138,0.00967825,0.00967825,0.00967825
15,716.55,0.38778,0.38052,0.89114,0.9957,0.99275,0.99483,0.90836,0.29351,0.27034,0.8174,0.0096535,0.0096535,0.0096535
16,763.449,0.3936,0.37905,0.89393,0.99844,0.99745,0.99494,0.90019,0.30515,0.27595,0.81915,0.00962875,0.00962875,0.00962875
17,810.612,0.38615,0.37452,0.8879,0.99621,0.99633,0.99481,0.88926,0.32581,0.30118,0.83313,0.009604,0.009604,0.009604
18,857.693,0.38079,0.37292,0.88778,0.99625,0.99584,0.99491,0.90608,0.29589,0.28001,0.81991,0.00957925,0.00957925,0.00957925
19,904.699,0.38104,0.36925,0.88917,0.99862,0.99784,0.99499,0.92762,0.2596,0.23944,0.80366,0.0095545,0.0095545,0.0095545
20,951.885,0.37158,0.36186,0.88419,0.99718,0.99679,0.99494,0.91314,0.28606,0.26257,0.81476,0.00952975,0.00952975,0.00952975
21,999.007,0.37266,0.36015,0.88462,0.98989,0.98485,0.99373,0.88289,0.32583,0.29188,0.82654,0.009505,0.009505,0.009505
22,1045.97,0.36633,0.35739,0.8826,0.99401,0.99136,0.99436,0.91269,0.28781,0.259,0.8157,0.00948025,0.00948025,0.00948025
23,1093,0.36815,0.35318,0.88088,0.99884,0.99845,0.99496,0.9254,0.2582,0.2414,0.8024,0.0094555,0.0094555,0.0094555
24,1140.09,0.36289,0.34746,0.87921,0.99747,0.99622,0.99483,0.91633,0.2776,0.24776,0.80959,0.00943075,0.00943075,0.00943075
25,1187.24,0.35478,0.34193,0.87668,0.99805,0.99676,0.99491,0.92463,0.26651,0.23771,0.80745,0.009406,0.009406,0.009406
26,1234.39,0.35965,0.34237,0.87835,0.99877,0.99735,0.9949,0.9204,0.26401,0.23333,0.8036,0.00938125,0.00938125,0.00938125
27,1281.62,0.35409,0.33651,0.87465,0.99818,0.99648,0.9949,0.91613,0.27378,0.23994,0.80816,0.0093565,0.0093565,0.0093565
28,1328.64,0.35019,0.33921,0.87451,0.99815,0.99785,0.99498,0.91999,0.273,0.24152,0.80701,0.00933175,0.00933175,0.00933175
29,1375.53,0.34858,0.33583,0.87367,0.99881,0.99762,0.99496,0.92535,0.25654,0.22927,0.80165,0.009307,0.009307,0.009307
30,1422.51,0.34918,0.33178,0.87447,0.99662,0.99838,0.995,0.92619,0.26259,0.23934,0.80598,0.00928225,0.00928225,0.00928225
31,1469.52,0.34424,0.32831,0.87099,0.99904,0.99817,0.99499,0.93289,0.24255,0.21903,0.79716,0.0092575,0.0092575,0.0092575
32,1516.66,0.34336,0.32735,0.87235,0.99884,0.99772,0.99499,0.93282,0.24621,0.2202,0.79811,0.00923275,0.00923275,0.00923275
33,1563.6,0.34335,0.32595,0.86993,0.99906,0.99747,0.995,0.93187,0.2436,0.21763,0.79696,0.009208,0.009208,0.009208
34,1610.57,0.33995,0.32323,0.87091,0.99843,0.99858,0.995,0.92707,0.25855,0.22163,0.80212,0.00918325,0.00918325,0.00918325
35,1657.63,0.33874,0.32173,0.86698,0.99873,0.99823,0.99499,0.93455,0.24026,0.21645,0.79533,0.0091585,0.0091585,0.0091585
36,1704.81,0.3361,0.31897,0.86803,0.99868,0.99754,0.99499,0.92988,0.2532,0.2238,0.80126,0.00913375,0.00913375,0.00913375
37,1751.78,0.33784,0.32275,0.86914,0.99879,0.99773,0.99497,0.93044,0.25035,0.21971,0.79967,0.009109,0.009109,0.009109
38,1798.81,0.3309,0.31602,0.86482,0.99908,0.99835,0.995,0.94052,0.22731,0.20331,0.79115,0.00908425,0.00908425,0.00908425
39,1845.85,0.33008,0.31307,0.865,0.9984,0.99828,0.995,0.93371,0.24109,0.21031,0.79579,0.0090595,0.0090595,0.0090595
40,1892.96,0.33011,0.31437,0.86445,0.99896,0.99784,0.99498,0.92359,0.25912,0.21875,0.80033,0.00903475,0.00903475,0.00903475
41,1940.08,0.32986,0.31209,0.86606,0.99914,0.99834,0.995,0.93115,0.24361,0.21238,0.79671,0.00901,0.00901,0.00901
42,1987,0.32446,0.30813,0.86191,0.99894,0.9972,0.99494,0.93902,0.23493,0.20583,0.79385,0.00898525,0.00898525,0.00898525
43,2034.12,0.32448,0.30854,0.86084,0.99843,0.9986,0.995,0.93504,0.24068,0.20722,0.79436,0.0089605,0.0089605,0.0089605
44,2081.22,0.32337,0.30676,0.86147,0.99904,0.99842,0.995,0.93374,0.24248,0.20629,0.79563,0.00893575,0.00893575,0.00893575
45,2128.27,0.32033,0.30258,0.85975,0.99932,0.9981,0.99492,0.93851,0.23662,0.20331,0.79406,0.008911,0.008911,0.008911
46,2175.38,0.31926,0.30185,0.85885,0.99921,0.99807,0.99498,0.94195,0.22482,0.19799,0.78973,0.00888625,0.00888625,0.00888625
47,2222.5,0.31386,0.29514,0.8578,0.99911,0.99858,0.99499,0.935,0.23695,0.20052,0.79312,0.0088615,0.0088615,0.0088615
48,2269.52,0.3155,0.29867,0.85785,0.99918,0.99821,0.99499,0.94407,0.22225,0.19532,0.78885,0.00883675,0.00883675,0.00883675
49,2316.54,0.31377,0.29466,0.85615,0.99908,0.99795,0.99498,0.93888,0.22725,0.19575,0.79119,0.008812,0.008812,0.008812
50,2363.48,0.31184,0.2947,0.85673,0.99938,0.99767,0.995,0.94599,0.21746,0.18979,0.78765,0.00878725,0.00878725,0.00878725
51,2410.63,0.31398,0.29369,0.85699,0.99908,0.99862,0.99499,0.9427,0.22129,0.19283,0.78855,0.0087625,0.0087625,0.0087625
52,2457.54,0.31018,0.29183,0.85614,0.99924,0.99789,0.99499,0.93616,0.23538,0.19598,0.7923,0.00873775,0.00873775,0.00873775
53,2504.61,0.30842,0.29041,0.85554,0.99916,0.99846,0.995,0.94097,0.22635,0.19235,0.78906,0.008713,0.008713,0.008713
54,2551.68,0.30883,0.2896,0.85566,0.99935,0.99839,0.995,0.94341,0.21943,0.18748,0.78688,0.00868825,0.00868825,0.00868825
