epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6292,0.75172,1.02727,1.04034,0.71211,0.76641,0.819,0.55001,0.84196,1.1449,1.10875,0.0700685,0.00332572,0.00332572
2,103.959,0.67718,0.66173,1.0167,0.89584,0.80884,0.89365,0.67149,0.7335,0.97248,1.0481,0.0400026,0.00659313,0.00659313
3,152.802,0.6505,0.59829,1.00567,0.75678,0.63439,0.69578,0.49273,0.92872,1.72144,1.27392,0.00987064,0.00979454,0.00979454
4,201.156,0.59981,0.52969,0.9821,0.96531,0.97203,0.98914,0.83647,0.49345,0.43309,0.90715,0.009703,0.009703,0.009703
5,249.566,0.58354,0.5081,0.97109,0.9712,0.97615,0.99196,0.84369,0.49783,0.40366,0.90363,0.009604,0.009604,0.009604
6,297.81,0.54399,0.46675,0.95443,0.95732,0.94077,0.9752,0.79988,0.54187,0.4716,0.9195,0.009505,0.009505,0.009505
7,345.41,0.53818,0.46018,0.95097,0.98622,0.98047,0.99181,0.8746,0.42431,0.34979,0.87851,0.009406,0.009406,0.009406
8,392.938,0.51987,0.43562,0.94266,0.99184,0.99153,0.99391,0.88809,0.38868,0.31953,0.86098,0.009307,0.009307,0.009307
9,440.493,0.50197,0.42274,0.93689,0.9915,0.98764,0.99396,0.88007,0.39375,0.32144,0.85862,0.009208,0.009208,0.009208
10,487.79,0.48705,0.40482,0.92981,0.99772,0.99523,0.99489,0.9072,0.35782,0.28225,0.84675,0.009109,0.009109,0.009109
11,535.132,0.48485,0.4026,0.92974,0.99556,0.99203,0.99452,0.8972,0.35874,0.27956,0.84594,0.00901,0.00901,0.00901
12,582.443,0.47831,0.39385,0.92535,0.99208,0.99491,0.99466,0.90715,0.36115,0.29873,0.85283,0.008911,0.008911,0.008911
13,629.965,0.46888,0.3862,0.92114,0.97993,0.97974,0.99344,0.87872,0.41112,0.31682,0.86142,0.008812,0.008812,0.008812
14,677.498,0.46519,0.38545,0.92178,0.998,0.99584,0.99488,0.91271,0.34469,0.27255,0.84248,0.008713,0.008713,0.008713
15,725.184,0.45711,0.37407,0.91781,0.9921,0.99213,0.9946,0.90127,0.35612,0.27602,0.84577,0.008614,0.008614,0.008614
16,772.731,0.45626,0.37014,0.91712,0.99821,0.99541,0.99486,0.90455,0.36057,0.28197,0.84679,0.008515,0.008515,0.008515
17,820.118,0.4488,0.36428,0.91333,0.99728,0.9958,0.99486,0.91686,0.32679,0.25402,0.83795,0.008416,0.008416,0.008416
18,867.609,0.44967,0.36209,0.91326,0.99865,0.99574,0.99494,0.91449,0.34472,0.25456,0.83963,0.008317,0.008317,0.008317
19,915.12,0.44548,0.35836,0.91288,0.9984,0.99694,0.9949,0.92479,0.31686,0.24733,0.83265,0.008218,0.008218,0.008218
20,962.281,0.43017,0.34979,0.90644,0.9987,0.9974,0.99497,0.925,0.31806,0.24475,0.83305,0.008119,0.008119,0.008119
21,1009.68,0.42522,0.34778,0.90645,0.99594,0.99573,0.99485,0.89713,0.36756,0.2623,0.84788,0.00802,0.00802,0.00802
22,1056.98,0.42685,0.34506,0.90537,0.99871,0.99708,0.99494,0.92956,0.30373,0.23758,0.8286,0.007921,0.007921,0.007921
23,1104.29,0.41871,0.33728,0.90119,0.99547,0.99742,0.99498,0.92391,0.31535,0.24033,0.83157,0.007822,0.007822,0.007822
24,1151.64,0.41516,0.33337,0.90061,0.99291,0.99481,0.99484,0.9114,0.33073,0.25271,0.83744,0.007723,0.007723,0.007723
25,1198.98,0.41267,0.33344,0.90075,0.99836,0.99721,0.99498,0.92687,0.31288,0.23604,0.83178,0.007624,0.007624,0.007624
26,1246.16,0.40719,0.32623,0.89767,0.9988,0.99685,0.99493,0.91791,0.32609,0.23406,0.83329,0.007525,0.007525,0.007525
27,1293.52,0.40965,0.32684,0.89767,0.99757,0.99741,0.99498,0.92246,0.31683,0.2384,0.83149,0.007426,0.007426,0.007426
