epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9916,0.59861,0.99833,1.06761,0.7411,0.80741,0.84054,0.6061,0.6001,2.05236,1.08257,0.0700685,0.00332572,0.00332572
2,143.743,0.54376,0.6535,1.03987,0.89606,0.90712,0.9551,0.74296,0.53294,0.67641,1.04741,0.0400026,0.00659313,0.00659313
3,211.139,0.52238,0.60068,1.03429,0.7328,0.73422,0.73264,0.4976,0.73886,1.71405,1.20228,0.00987064,0.00979454,0.00979454
4,277.253,0.5007,0.55084,1.02231,0.97514,0.97371,0.98656,0.85357,0.37927,0.40383,0.91535,0.009703,0.009703,0.009703
5,343.401,0.45802,0.50208,1.00035,0.99621,0.99254,0.9947,0.88341,0.34575,0.33105,0.89827,0.009604,0.009604,0.009604
6,409.947,0.42779,0.45242,0.98311,0.98889,0.98716,0.99386,0.86009,0.3805,0.33503,0.91742,0.009505,0.009505,0.009505
7,476.033,0.42024,0.44481,0.97745,0.97011,0.9731,0.99145,0.86495,0.37103,0.35812,0.90622,0.009406,0.009406,0.009406
8,542.162,0.41056,0.43367,0.97407,0.99561,0.99427,0.99425,0.90056,0.31126,0.28671,0.88412,0.009307,0.009307,0.009307
9,608.332,0.3945,0.40865,0.96648,0.99769,0.99583,0.99485,0.89845,0.31183,0.28741,0.87984,0.009208,0.009208,0.009208
10,674.435,0.39317,0.40123,0.96495,0.99655,0.99682,0.99497,0.91379,0.28931,0.27222,0.86993,0.009109,0.009109,0.009109
11,740.555,0.3808,0.38939,0.95833,0.99759,0.99716,0.99497,0.91662,0.28597,0.25831,0.8692,0.00901,0.00901,0.00901
12,806.685,0.3821,0.38803,0.9579,0.99416,0.99368,0.99449,0.91317,0.28623,0.26562,0.87231,0.008911,0.008911,0.008911
13,872.701,0.37484,0.37501,0.95269,0.81089,0.67857,0.75185,0.62287,0.48811,0.95941,1.07941,0.008812,0.008812,0.008812
14,938.762,0.36355,0.36439,0.94961,0.99682,0.99759,0.99495,0.92753,0.26474,0.24195,0.85981,0.008713,0.008713,0.008713
15,1004.92,0.36047,0.36464,0.9496,0.99328,0.99124,0.99432,0.91993,0.27374,0.24835,0.86683,0.008614,0.008614,0.008614
16,1070.98,0.35836,0.35899,0.94743,0.99848,0.99797,0.99494,0.92489,0.26556,0.24719,0.8604,0.008515,0.008515,0.008515
17,1137.03,0.35301,0.35076,0.94163,0.99686,0.99735,0.99477,0.92685,0.25904,0.22892,0.85873,0.008416,0.008416,0.008416
18,1203.17,0.3578,0.35803,0.94489,0.99783,0.99738,0.99495,0.9224,0.26841,0.23772,0.86398,0.008317,0.008317,0.008317
19,1269.23,0.34854,0.34091,0.9416,0.99691,0.99739,0.99493,0.92778,0.26182,0.23146,0.85895,0.008218,0.008218,0.008218
20,1335.36,0.34035,0.33802,0.93764,0.99894,0.998,0.99499,0.93321,0.24844,0.2158,0.85266,0.008119,0.008119,0.008119
21,1401.52,0.3396,0.33492,0.93784,0.99867,0.9984,0.995,0.92968,0.25738,0.23066,0.8585,0.00802,0.00802,0.00802
22,1467.62,0.33599,0.33594,0.93524,0.9968,0.99916,0.995,0.93999,0.23593,0.20707,0.84902,0.007921,0.007921,0.007921
23,1533.72,0.32526,0.32186,0.93038,0.99855,0.99791,0.99498,0.94266,0.23122,0.20234,0.84729,0.007822,0.007822,0.007822
24,1599.88,0.32909,0.32402,0.93225,0.99751,0.99857,0.99497,0.94112,0.23057,0.20378,0.84595,0.007723,0.007723,0.007723
25,1665.95,0.32375,0.31719,0.93026,0.99774,0.99732,0.99487,0.93529,0.24582,0.21384,0.85186,0.007624,0.007624,0.007624
26,1732.09,0.32173,0.31556,0.92881,0.99769,0.99734,0.99498,0.92741,0.2563,0.21826,0.85578,0.007525,0.007525,0.007525
27,1798.15,0.32536,0.31841,0.93007,0.99913,0.99925,0.995,0.94194,0.23133,0.19844,0.84801,0.007426,0.007426,0.007426
28,1864.23,0.31703,0.30916,0.92629,0.998,0.99847,0.99499,0.93798,0.23983,0.20864,0.85087,0.007327,0.007327,0.007327
29,1930.25,0.31561,0.3086,0.92711,0.99809,0.99806,0.99498,0.94058,0.23079,0.20578,0.84639,0.007228,0.007228,0.007228
30,1996.26,0.30956,0.30336,0.92243,0.99903,0.99868,0.995,0.94594,0.22344,0.1962,0.84404,0.007129,0.007129,0.007129
31,2062.34,0.31136,0.30511,0.92432,0.99837,0.99832,0.99499,0.9454,0.2222,0.19212,0.84341,0.00703,0.00703,0.00703
32,2128.33,0.30694,0.29702,0.92066,0.9986,0.99898,0.99499,0.94192,0.22912,0.19514,0.84465,0.006931,0.006931,0.006931
33,2194.44,0.30817,0.2962,0.92239,0.99914,0.99903,0.995,0.94696,0.21697,0.18948,0.84113,0.006832,0.006832,0.006832
34,2260.56,0.30474,0.29401,0.91846,0.99925,0.99843,0.995,0.94737,0.21608,0.18414,0.84059,0.006733,0.006733,0.006733
35,2326.68,0.29933,0.28847,0.91699,0.99777,0.99913,0.995,0.94595,0.21572,0.18447,0.84034,0.006634,0.006634,0.006634
36,2392.81,0.29649,0.28727,0.91436,0.99856,0.99896,0.99498,0.94489,0.22696,0.1879,0.84364,0.006535,0.006535,0.006535
37,2458.89,0.2971,0.28411,0.91547,0.99872,0.99911,0.99499,0.94852,0.21124,0.18132,0.83849,0.006436,0.006436,0.006436
38,2525.05,0.29329,0.28089,0.91293,0.99817,0.99868,0.995,0.94313,0.22416,0.18357,0.84238,0.006337,0.006337,0.006337
39,2591.09,0.29207,0.28165,0.91458,0.99882,0.99873,0.99499,0.95022,0.21178,0.17724,0.8396,0.006238,0.006238,0.006238
40,2657.27,0.28718,0.27364,0.90962,0.99875,0.99919,0.995,0.95209,0.20479,0.17482,0.83614,0.006139,0.006139,0.006139
41,2723.38,0.28809,0.27456,0.91235,0.99927,0.99909,0.99499,0.95179,0.2025,0.17078,0.83564,0.00604,0.00604,0.00604
42,2789.44,0.28895,0.2744,0.91073,0.99873,0.99902,0.995,0.95179,0.20733,0.17283,0.83714,0.005941,0.005941,0.005941
