epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9621,0.6837,1.02781,1.02252,0.91701,0.85391,0.92714,0.638,0.71281,1.04635,1.03598,0.0700685,0.00332572,0.00332572
2,102.025,0.62823,0.66506,1.0016,0.90741,0.84499,0.93214,0.68993,0.63134,0.73267,0.99327,0.0400026,0.00659313,0.00659313
3,150.1,0.60458,0.61082,0.99143,0.78977,0.805,0.89195,0.7097,0.50176,0.84215,0.91891,0.00987064,0.00979454,0.00979454
4,197.586,0.57746,0.56383,0.97744,0.92762,0.90789,0.95627,0.69835,0.6555,0.60796,1.00307,0.009703,0.009703,0.009703
5,245.079,0.56404,0.52637,0.96936,0.84639,0.90355,0.95838,0.77023,0.49042,0.59424,0.92401,0.009604,0.009604,0.009604
6,292.928,0.54152,0.50257,0.95602,0.98867,0.97463,0.99018,0.77198,0.56244,0.69223,0.93557,0.009505,0.009505,0.009505
7,340.805,0.52752,0.48312,0.95122,0.94918,0.94112,0.98428,0.78949,0.52913,0.48729,0.92127,0.009406,0.009406,0.009406
8,388.381,0.53096,0.47131,0.94917,0.99066,0.98951,0.9943,0.82347,0.46145,0.37916,0.88261,0.009307,0.009307,0.009307
9,435.776,0.51593,0.45898,0.94495,0.95572,0.97362,0.99002,0.84832,0.39885,0.39159,0.85928,0.009208,0.009208,0.009208
10,483.396,0.49814,0.43889,0.93421,0.9961,0.99485,0.99473,0.86045,0.40171,0.34048,0.85405,0.009109,0.009109,0.009109
11,530.598,0.49823,0.43775,0.93447,0.99628,0.99203,0.99413,0.85822,0.41317,0.33015,0.85501,0.00901,0.00901,0.00901
12,577.918,0.48842,0.42389,0.92773,0.99148,0.99407,0.99474,0.84181,0.44354,0.3283,0.86675,0.008911,0.008911,0.008911
13,625.262,0.49044,0.41932,0.92899,0.99479,0.99576,0.99491,0.81552,0.51214,0.35223,0.89465,0.008812,0.008812,0.008812
14,672.618,0.48042,0.40831,0.92566,0.98159,0.98199,0.98951,0.80909,0.52426,0.39384,0.91053,0.008713,0.008713,0.008713
15,719.719,0.4801,0.41037,0.92413,0.88599,0.88109,0.93809,0.79074,0.41868,0.53646,0.89203,0.008614,0.008614,0.008614
16,767.279,0.47454,0.40383,0.92021,0.99699,0.99574,0.99486,0.87581,0.37041,0.30163,0.83903,0.008515,0.008515,0.008515
17,815.288,0.47567,0.39798,0.91807,0.99002,0.99246,0.99479,0.86457,0.38842,0.3192,0.84641,0.008416,0.008416,0.008416
18,863.508,0.47126,0.39233,0.91971,0.99424,0.99566,0.99471,0.87946,0.35861,0.29783,0.83578,0.008317,0.008317,0.008317
19,911.444,0.47812,0.39887,0.92343,0.97508,0.97877,0.99263,0.87969,0.34716,0.31846,0.83475,0.008218,0.008218,0.008218
20,959.548,0.45987,0.386,0.91386,0.99626,0.99513,0.99464,0.87809,0.37128,0.29553,0.83507,0.008119,0.008119,0.008119
21,1007.76,0.45901,0.38459,0.91544,0.99658,0.9951,0.99472,0.87429,0.36926,0.28653,0.83618,0.00802,0.00802,0.00802
