epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7042,0.63418,1.02817,1.07513,0.87377,0.83183,0.93616,0.71435,0.54247,1.08418,1.01873,0.0700685,0.00332572,0.00332572
2,96.2126,0.57569,0.67278,1.05375,0.95329,0.94761,0.97922,0.7963,0.46201,0.5638,0.97034,0.0400026,0.00659313,0.00659313
3,140.595,0.54542,0.60485,1.03897,0.95808,0.96765,0.98627,0.76737,0.53018,0.51337,1.01573,0.00987064,0.00979454,0.00979454
4,184.898,0.51304,0.54422,1.01664,0.98435,0.98681,0.99393,0.85113,0.38011,0.37631,0.91805,0.009703,0.009703,0.009703
5,229.372,0.48728,0.50874,1.00231,0.96786,0.97838,0.99229,0.85859,0.37247,0.39354,0.91552,0.009604,0.009604,0.009604
6,274.029,0.47013,0.48223,0.99067,0.9791,0.96943,0.98917,0.8527,0.37423,0.67368,0.90952,0.009505,0.009505,0.009505
7,318.144,0.44534,0.45562,0.97855,0.99143,0.99152,0.99481,0.86744,0.35318,0.33665,0.89994,0.009406,0.009406,0.009406
8,363.549,0.44605,0.44833,0.97889,0.9949,0.99438,0.99469,0.89025,0.31759,0.31897,0.88448,0.009307,0.009307,0.009307
9,407.683,0.42304,0.42241,0.96713,0.99407,0.99532,0.99488,0.89988,0.30129,0.28773,0.8751,0.009208,0.009208,0.009208
10,451.826,0.41989,0.41735,0.96488,0.9898,0.98189,0.99369,0.89105,0.32069,0.32521,0.88572,0.009109,0.009109,0.009109
11,495.813,0.40936,0.40318,0.96049,0.97233,0.96509,0.98544,0.88133,0.32733,0.34827,0.88644,0.00901,0.00901,0.00901
12,540.152,0.41575,0.40365,0.96004,0.99445,0.99287,0.99467,0.90065,0.30114,0.30288,0.87478,0.008911,0.008911,0.008911
13,584.174,0.39771,0.39351,0.95315,0.99575,0.99592,0.99489,0.89581,0.31248,0.2961,0.87849,0.008812,0.008812,0.008812
14,628.21,0.38949,0.38309,0.95037,0.9972,0.9953,0.99476,0.90731,0.28945,0.26797,0.86892,0.008713,0.008713,0.008713
15,672.289,0.38885,0.37798,0.94972,0.98842,0.9852,0.99362,0.88696,0.31581,0.30077,0.88092,0.008614,0.008614,0.008614
16,716.213,0.3817,0.36943,0.94567,0.99793,0.99625,0.99468,0.91795,0.27465,0.25426,0.86425,0.008515,0.008515,0.008515
17,760.388,0.37534,0.36958,0.94298,0.99774,0.99717,0.99495,0.91036,0.28277,0.26504,0.86614,0.008416,0.008416,0.008416
18,804.457,0.38065,0.36387,0.94463,0.99894,0.99763,0.99499,0.91369,0.28016,0.25411,0.8653,0.008317,0.008317,0.008317
19,848.367,0.37082,0.36022,0.94209,0.99808,0.9975,0.99493,0.90814,0.28781,0.24866,0.86489,0.008218,0.008218,0.008218
