epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7735,0.61116,0.98641,0.99681,0.82458,0.72119,0.823,0.62495,0.57034,1.51362,0.97275,0.0700685,0.00332572,0.00332572
2,99.3373,0.54346,0.62547,0.97009,0.84179,0.8304,0.91343,0.73421,0.48637,0.76682,0.93754,0.0400026,0.00659313,0.00659313
3,143.892,0.51385,0.55887,0.95754,0.87893,0.78528,0.85793,0.623,0.66568,0.89195,1.06938,0.00987064,0.00979454,0.00979454
4,187.614,0.47234,0.50069,0.93581,0.95603,0.97031,0.98882,0.84985,0.38585,0.41643,0.8629,0.009703,0.009703,0.009703
5,231.415,0.45519,0.47725,0.92489,0.95606,0.96303,0.98589,0.85476,0.37542,0.39388,0.86238,0.009604,0.009604,0.009604
6,275.237,0.42908,0.43743,0.91268,0.99342,0.98987,0.99396,0.8815,0.34039,0.32783,0.83957,0.009505,0.009505,0.009505
7,319.053,0.41611,0.41963,0.9058,0.99599,0.99452,0.9947,0.89926,0.31041,0.29768,0.82698,0.009406,0.009406,0.009406
8,363.269,0.41046,0.41289,0.902,0.99578,0.9941,0.99453,0.89252,0.31153,0.31424,0.82432,0.009307,0.009307,0.009307
9,407.333,0.40436,0.40481,0.90009,0.88485,0.91612,0.95289,0.80732,0.40868,0.54662,0.88419,0.009208,0.009208,0.009208
10,450.995,0.3881,0.38657,0.89325,0.99671,0.9957,0.99486,0.90692,0.29563,0.27111,0.82105,0.009109,0.009109,0.009109
11,494.559,0.39106,0.38639,0.894,0.99403,0.99181,0.99479,0.9024,0.30817,0.29143,0.82542,0.00901,0.00901,0.00901
12,538.051,0.37825,0.3728,0.88683,0.94856,0.96006,0.96951,0.84801,0.36165,0.36699,0.85651,0.008911,0.008911,0.008911
13,581.665,0.37541,0.36922,0.88442,0.99276,0.99412,0.99453,0.90351,0.30627,0.29003,0.82013,0.008812,0.008812,0.008812
14,625.199,0.36178,0.35493,0.88094,0.99804,0.9958,0.99497,0.9192,0.27402,0.25566,0.81063,0.008713,0.008713,0.008713
15,668.774,0.36154,0.35482,0.87968,0.99069,0.99258,0.99463,0.89888,0.31205,0.29308,0.8261,0.008614,0.008614,0.008614
16,712.399,0.35622,0.34706,0.87869,0.99638,0.99454,0.99481,0.90303,0.30082,0.27177,0.82142,0.008515,0.008515,0.008515
17,755.995,0.35325,0.34338,0.87552,0.99762,0.99635,0.99493,0.9046,0.29762,0.26017,0.81531,0.008416,0.008416,0.008416
18,799.69,0.34899,0.33994,0.87388,0.99585,0.99543,0.99466,0.90957,0.28016,0.25327,0.8117,0.008317,0.008317,0.008317
19,843.209,0.34707,0.33402,0.87362,0.99778,0.99765,0.99497,0.92375,0.26676,0.23871,0.80633,0.008218,0.008218,0.008218
20,886.885,0.34105,0.33274,0.87092,0.99748,0.99759,0.99478,0.93118,0.24892,0.22644,0.80083,0.008119,0.008119,0.008119
21,930.568,0.34219,0.33193,0.87287,0.99053,0.99242,0.99424,0.92519,0.25486,0.25254,0.80281,0.00802,0.00802,0.00802
22,974.345,0.33843,0.32895,0.86989,0.99774,0.99551,0.99497,0.92347,0.26345,0.2327,0.80444,0.007921,0.007921,0.007921
23,1018.03,0.33163,0.32156,0.86633,0.99809,0.9968,0.99499,0.92886,0.26079,0.23206,0.80373,0.007822,0.007822,0.007822
24,1062.58,0.32937,0.31738,0.86659,0.99687,0.99366,0.99487,0.91369,0.27367,0.2392,0.80811,0.007723,0.007723,0.007723
25,1106.35,0.32833,0.3144,0.86555,0.99824,0.99691,0.99498,0.92587,0.26251,0.22923,0.80384,0.007624,0.007624,0.007624
26,1150.47,0.32634,0.31274,0.86408,0.99819,0.99751,0.99495,0.92925,0.25348,0.22633,0.80237,0.007525,0.007525,0.007525
27,1194.61,0.31935,0.30891,0.86159,0.99762,0.99658,0.99488,0.92502,0.263,0.22626,0.80368,0.007426,0.007426,0.007426
28,1238.75,0.32097,0.30722,0.86251,0.99854,0.99688,0.99498,0.92302,0.26697,0.23038,0.8078,0.007327,0.007327,0.007327
29,1282.84,0.32218,0.31134,0.86322,0.99753,0.9958,0.99496,0.91233,0.28665,0.25413,0.81359,0.007228,0.007228,0.007228
30,1326.52,0.31984,0.30865,0.86319,0.99856,0.99692,0.99497,0.92975,0.25353,0.22724,0.80224,0.007129,0.007129,0.007129
31,1370.12,0.31396,0.30308,0.85874,0.99835,0.99716,0.99498,0.92319,0.26592,0.22324,0.80371,0.00703,0.00703,0.00703
32,1413.81,0.31042,0.29554,0.85867,0.99759,0.99839,0.99499,0.9321,0.24561,0.21254,0.79628,0.006931,0.006931,0.006931
