epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6894,0.60017,2.00631,1.0995,0.97457,0.97813,0.99229,0.87625,0.36063,0.45248,0.92492,0.00332572,0.00332572,0.00332572
2,173.467,0.48064,0.89068,1.00971,0.98774,0.99095,0.99419,0.87237,0.36254,0.40052,0.92716,0.00659313,0.00659313,0.00659313
3,256.858,0.49686,0.79006,1.01958,0.93872,0.94667,0.97743,0.79375,0.49449,0.51167,1.0086,0.00979454,0.00979454,0.00979454
4,339.677,0.48757,0.65581,1.01719,0.99505,0.99449,0.99448,0.88486,0.33804,0.34401,0.91642,0.009703,0.009703,0.009703
5,422.3,0.45889,0.54036,1.00412,0.99571,0.99599,0.99487,0.90611,0.31264,0.30662,0.90457,0.009604,0.009604,0.009604
6,504.969,0.43154,0.46517,0.98967,0.99829,0.99756,0.99488,0.91124,0.30009,0.28628,0.90031,0.009505,0.009505,0.009505
7,587.698,0.41531,0.42301,0.98316,0.99553,0.99511,0.99487,0.91146,0.29856,0.28584,0.90069,0.009406,0.009406,0.009406
8,670.543,0.40204,0.39961,0.97724,0.99531,0.99829,0.99483,0.92434,0.27677,0.25628,0.88791,0.009307,0.009307,0.009307
9,752.969,0.39373,0.38157,0.97431,0.99748,0.99806,0.99496,0.92416,0.27312,0.24683,0.88997,0.009208,0.009208,0.009208
10,835.487,0.38185,0.36513,0.9683,0.99781,0.99788,0.99499,0.92843,0.27134,0.23951,0.8888,0.009109,0.009109,0.009109
11,918.403,0.37561,0.35697,0.96595,0.99677,0.99803,0.99492,0.93071,0.26616,0.23876,0.88575,0.00901,0.00901,0.00901
12,1001.33,0.36993,0.34684,0.96242,0.99876,0.997,0.99499,0.93269,0.26658,0.22884,0.88524,0.008911,0.008911,0.008911
13,1083.96,0.36469,0.33902,0.95922,0.99824,0.99797,0.99498,0.93205,0.26266,0.22491,0.88167,0.008812,0.008812,0.008812
14,1166.54,0.35868,0.33407,0.95785,0.9987,0.9991,0.99499,0.93918,0.24685,0.21257,0.87451,0.008713,0.008713,0.008713
15,1249.17,0.35146,0.32592,0.95362,0.99926,0.99896,0.995,0.94228,0.24561,0.2072,0.87622,0.008614,0.008614,0.008614
16,1331.9,0.34705,0.3208,0.95177,0.9988,0.99917,0.995,0.9415,0.24492,0.2079,0.87389,0.008515,0.008515,0.008515
17,1414.66,0.34183,0.31474,0.94944,0.9995,0.99949,0.995,0.9433,0.23851,0.1973,0.87026,0.008416,0.008416,0.008416
18,1497.86,0.33908,0.31089,0.94948,0.99903,0.99887,0.995,0.94521,0.23574,0.19517,0.87158,0.008317,0.008317,0.008317
19,1580.6,0.33325,0.30699,0.94694,0.99942,0.99899,0.995,0.94799,0.23292,0.19534,0.86935,0.008218,0.008218,0.008218
20,1663.53,0.32927,0.30318,0.94456,0.9991,0.9991,0.99499,0.94585,0.23275,0.19224,0.86785,0.008119,0.008119,0.008119
21,1746.25,0.3258,0.29794,0.94464,0.99869,0.99951,0.995,0.942,0.24313,0.19473,0.87199,0.00802,0.00802,0.00802
22,1829.43,0.32517,0.30006,0.94292,0.99933,0.9993,0.995,0.95028,0.22567,0.18778,0.86658,0.007921,0.007921,0.007921
23,1912.37,0.32089,0.29337,0.94343,0.99924,0.99903,0.995,0.94384,0.23382,0.19159,0.86938,0.007822,0.007822,0.007822
24,1994.87,0.31889,0.29257,0.94107,0.99894,0.99885,0.995,0.94797,0.2263,0.18856,0.86632,0.007723,0.007723,0.007723
25,2077.55,0.31554,0.28859,0.94182,0.99937,0.99925,0.995,0.95159,0.21925,0.18266,0.86263,0.007624,0.007624,0.007624
26,2160.32,0.31365,0.28318,0.93654,0.99908,0.99919,0.995,0.9471,0.22888,0.18128,0.86512,0.007525,0.007525,0.007525
27,2242.94,0.31111,0.28381,0.93832,0.99913,0.9993,0.99499,0.95087,0.21924,0.17636,0.86238,0.007426,0.007426,0.007426
28,2325.74,0.30894,0.27948,0.93745,0.99917,0.99946,0.995,0.9496,0.22429,0.17848,0.86383,0.007327,0.007327,0.007327
29,2408.51,0.30572,0.27627,0.93491,0.99898,0.9996,0.995,0.95308,0.21476,0.17395,0.86197,0.007228,0.007228,0.007228
30,2491.15,0.30566,0.2767,0.9347,0.99938,0.99917,0.995,0.95482,0.21353,0.17321,0.86,0.007129,0.007129,0.007129
31,2573.63,0.30136,0.27278,0.93182,0.99911,0.99929,0.995,0.95297,0.21538,0.17413,0.8608,0.00703,0.00703,0.00703
32,2656.32,0.30087,0.27168,0.93273,0.99913,0.99947,0.995,0.9521,0.21319,0.17312,0.86016,0.006931,0.006931,0.006931
33,2739.16,0.2981,0.26897,0.93052,0.99891,0.99957,0.995,0.95361,0.21015,0.17004,0.85947,0.006832,0.006832,0.006832
34,2821.84,0.29384,0.26602,0.93074,0.99917,0.99945,0.995,0.95585,0.20747,0.16551,0.85822,0.006733,0.006733,0.006733
35,2904.68,0.29186,0.26183,0.92928,0.99924,0.99939,0.995,0.95336,0.21315,0.16716,0.85926,0.006634,0.006634,0.006634
36,2987.53,0.29114,0.26148,0.9278,0.99941,0.99951,0.995,0.95614,0.20803,0.16571,0.85917,0.006535,0.006535,0.006535
37,3070,0.28925,0.25955,0.92844,0.99918,0.99932,0.995,0.95457,0.2098,0.1637,0.85869,0.006436,0.006436,0.006436
