epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3875,0.62181,2.01239,1.06548,0.99026,0.99126,0.99457,0.87385,0.38589,0.46221,0.90178,0.00332572,0.00332572,0.00332572
2,175.398,0.49764,0.89395,0.97648,0.99674,0.98909,0.99384,0.86677,0.40129,0.39589,0.91508,0.00659313,0.00659313,0.00659313
3,259.936,0.51365,0.79092,0.98646,0.98938,0.98886,0.99393,0.86456,0.4011,0.40157,0.91133,0.00979454,0.00979454,0.00979454
4,346.047,0.50693,0.65979,0.98483,0.99482,0.99192,0.99384,0.8983,0.34283,0.34173,0.88808,0.009703,0.009703,0.009703
5,429.542,0.4748,0.53559,0.96993,0.99121,0.98923,0.99434,0.89163,0.35966,0.33892,0.89391,0.009604,0.009604,0.009604
6,514.866,0.44739,0.46545,0.95777,0.99669,0.99654,0.99495,0.9006,0.33798,0.29297,0.88336,0.009505,0.009505,0.009505
7,598.011,0.42818,0.42041,0.94929,0.99512,0.99398,0.99476,0.91022,0.31929,0.28499,0.87752,0.009406,0.009406,0.009406
8,683.838,0.41387,0.3945,0.94464,0.99922,0.99794,0.995,0.92329,0.29756,0.24828,0.86374,0.009307,0.009307,0.009307
9,766.628,0.4063,0.37888,0.94199,0.99881,0.99861,0.995,0.92961,0.27844,0.23922,0.85822,0.009208,0.009208,0.009208
10,849.4,0.39644,0.36398,0.937,0.99785,0.99743,0.99498,0.92505,0.28843,0.24407,0.86175,0.009109,0.009109,0.009109
11,932.163,0.38806,0.35451,0.93394,0.99839,0.99802,0.99499,0.93004,0.27775,0.23522,0.85808,0.00901,0.00901,0.00901
12,1015.05,0.38164,0.34369,0.93073,0.99933,0.9991,0.995,0.93594,0.27083,0.2273,0.85226,0.008911,0.008911,0.008911
13,1097.76,0.37457,0.33928,0.92684,0.99813,0.99838,0.99497,0.93903,0.25998,0.21735,0.84796,0.008812,0.008812,0.008812
14,1180.66,0.36977,0.3325,0.92568,0.99906,0.99896,0.995,0.93791,0.26438,0.21054,0.84954,0.008713,0.008713,0.008713
15,1263.83,0.36176,0.32238,0.92132,0.99888,0.99906,0.995,0.93991,0.25929,0.20624,0.84754,0.008614,0.008614,0.008614
